Name,Label,Country_specific,Scale_type,Type,Format,Valid,Invalid,Question,Group
cntry,Country,no,nominal,discrete,character-2,44387,0,5 Country,Group Country
dweight,Design weight,no,continuous,continuous,numeric-4.2,44387,0,R17 Design weight,Group Weights
pspwght,Post-stratification weight including design weight,no,continuous,continuous,numeric-4.2,44387,0,R18 Post-stratification weight including design weight,Group Weights
pweight,Population size weight (must be combined with dweight or pspwght),no,continuous,continuous,numeric-8.2,44387,0,R19 Population size weight (must be combined with dweight or pspwght),Group Weights
nwspol,"News about politics and current affairs, watching, reading or listening, in minutes",no,continuous,continuous,numeric-4.0,43863,524,"A1 On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?",Group Media and social trust
netusoft,"Internet use, how often",no,ordinal,discrete,numeric-1.0,44338,49,"A2 People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices, whether for work or personal use?",Group Media and social trust
netustm,"Internet use, how much time on typical day, in minutes",no,continuous,continuous,numeric-4.0,30113,14274,"A3 On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?",Group Media and social trust
ppltrst,Most people can be trusted or you can't be too careful,no,ordinal,discrete,numeric-2.0,44272,115,"A4 Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me
on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",Group Media and social trust
pplfair,"Most people try to take advantage of you, or try to be fair",no,ordinal,discrete,numeric-2.0,44072,315,"A5 Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?",Group Media and social trust
pplhlp,Most of the time people helpful or mostly looking out for themselves,no,ordinal,discrete,numeric-2.0,44211,176,A6 Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?,Group Media and social trust
polintr,How interested in politics,no,ordinal,discrete,numeric-1.0,44290,97,B1 How interested would you say you are in politics - are you...,Group Politics
psppsgva,Political system allows people to have a say in what government does,no,ordinal,discrete,numeric-1.0,43429,958,B2 How much would you say the political system in [country] allows people like you to have a say in what the government does?,Group Politics
actrolga,Able to take active role in political group,no,ordinal,discrete,numeric-1.0,43452,935,B3 How able do you think you are to take an active role in a group involved with political issues?,Group Politics
psppipla,Political system allows people to have influence on politics,no,ordinal,discrete,numeric-1.0,43545,842,B4 And how much would you say that the political system in [country] allows people like you to have an influence on politics?,Group Politics
cptppola,Confident in own ability to participate in politics,no,ordinal,discrete,numeric-1.0,43389,998,B5 And how confident are you in your own ability to participate in politics?,Group Politics
trstprl,Trust in country's parliament,no,ordinal,discrete,numeric-2.0,43514,873,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...[country]'s parliament?",Group Politics
trstlgl,Trust in the legal system,no,ordinal,discrete,numeric-2.0,43538,849,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...the legal system?",Group Politics
trstplc,Trust in the police,no,ordinal,discrete,numeric-2.0,44067,320,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the police?",Group Politics
trstplt,Trust in politicians,no,ordinal,discrete,numeric-2.0,43741,646,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...politicians?",Group Politics
trstprt,Trust in political parties,no,ordinal,discrete,numeric-2.0,43532,855,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...political parties?",Group Politics
