year,anomaly,uncertainty
1750,-1.414,NA
1751,-1.516,NA
1753,-1.070,1.3
1754,-0.614,1.090
1755,-0.823,1.242
1756,-0.547,1.284
1757,-0.438,1.311
1758,-2.419,1.756
1759,-1.528,2.247
1760,-2.465,2.750
1761,-0.950,2.095
1762,-0.990,1.934
1763,-1.998,2.297
1764,-0.767,1.749
1765,-0.599,1.753
1766,-0.619,1.743
1767,-0.753,0.987
1768,-2.141,1.266
1769,-1.171,1.238
1770,-1.174,1.045
1771,-1.196,1.196
1772,-0.684,1.436
1773,-0.500,1.129
1774,-0.113,0.965
1775,-0.020,1.162
1776,-1.100,1.164
1777,-1.146,1.014
1778,-0.939,1.301
1779,-0.450,1.594
1780, 0.150,1.968
1781,-0.539,0.878
1782,-0.752,1.324
1783,-0.975,0.794
1784,-0.815,1.209
1785,-0.998,1.147
1786,-0.670,1.254
1787,-0.612,0.921
1788,-0.389,0.876
1789,-0.274,0.643
1790,-0.560,1.105
1791,-0.264,1.148
1792,-0.498,1.130
1793,-0.414,1.560
1794,-0.045,1.491
1795, 0.065,0.649
1796,-0.309,0.971
1797,-0.087,1.032
1798,-0.123,0.695
1799,-0.611,0.761
1800,-0.474,0.684
1801, 0.205,0.673
1802, 0.072,0.589
1803,-0.080,0.804
1804,-0.008,0.538
1805,-0.046,0.768
1806,-0.110,0.705
1807,-0.340,0.575
1808,-0.891,1.406
1809,-1.371,1.023
1810,-1.485,1.221
1811,-1.516,1.071
1812,-1.387,1.029
1813,-0.802,1.108
1814,-0.893,0.932
1815,-1.302,0.636
1816,-1.635,0.851
1817,-1.408,0.688
1818,-0.368,1.107
1819,-1.223,0.802
1820,-0.935,0.866
1821,-0.666,0.737
1822,-0.591,0.865
1823,-0.871,0.804
1824,-0.226,0.576
1825,-0.428,0.914
1826,-0.246,0.638
1827, 0.128,0.414
1828,-0.545,0.643
1829,-0.774,0.797
1830,-0.110,0.671
1831,-0.955,0.983
1832,-1.142,0.718
1833,-0.587,0.664
1834,-0.472,0.607
1835,-1.224,0.677
1836,-0.954,0.651
1837,-1.239,0.742
1838,-1.120,0.752
1839,-0.914,0.858
1840,-0.865,0.599
1841,-1.054,0.706
1842,-0.651,0.602
1843,-0.511,0.532
1844,-1.040,0.516
1845,-0.924,0.569
1846,-0.130,0.651
1847,-0.666,0.594
1848,-0.768,0.685
1849,-0.761,0.691
1850,-0.897,0.649
1851,-0.617,0.779
1852,-0.721,0.748
1853,-0.720,0.696
1854,-0.520,0.501
1855,-0.578,0.485
1856,-0.685,0.361
1857,-0.930,0.443
1858,-0.529,0.353
1859,-0.350,0.384
1860,-0.747,0.648
1861,-0.796,0.421
1862,-1.164,0.448
1863,-0.545,0.570
1864,-0.678,0.329
1865,-0.457,0.295
1866,-0.354,0.277
1867,-0.196,0.298
1868,-0.478,0.288
1869,-0.241,0.276
1870,-0.503,0.262
1871,-0.580,0.277
1872,-0.510,0.251
1873,-0.344,0.262
1874,-0.221,0.267
1875,-0.731,0.302
1876,-0.498,0.251
1877,-0.075,0.233
1878, 0.282,0.267
1879,-0.425,0.202
1880,-0.554,0.286
1881,-0.311,0.265
1882,-0.467,0.268
1883,-0.556,0.332
1884,-0.759,0.228
1885,-0.605,0.285
1886,-0.604,0.266
1887,-0.627,0.205
1888,-0.412,0.238
1889,-0.219,0.223
1890,-0.581,0.258
1891,-0.528,0.226
1892,-0.501,0.170
1893,-0.529,0.209
1894,-0.398,0.202
1895,-0.370,0.216
1896,-0.318,0.237
1897,-0.236,0.162
1898,-0.382,0.170
1899,-0.133,0.181
