Date,average_price,total_volume_sold,small,medium,large,type
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,conventional
2015-12-20,1.35,54876.98,674.28,44638.81,58.33,conventional
2015-12-13,0.93,118220.22,794.7,109149.67,130.5,conventional
2015-12-06,1.08,78992.15,1132,71976.41,72.58,conventional
2015-11-29,1.28,51039.6,941.48,43838.39,75.78,conventional
2015-11-22,1.26,55979.78,1184.27,48067.99,43.61,conventional
2015-11-15,0.99,83453.76,1368.92,73672.72,93.26,conventional
2015-11-08,0.98,109428.33,703.75,101815.36,80,conventional
2015-11-01,1.02,99811.42,1022.15,87315.57,85.34,conventional
2015-10-25,1.07,74338.76,842.4,64757.44,113,conventional
2015-10-18,1.12,84843.44,924.86,75595.85,117.07,conventional
2015-10-11,1.28,64489.17,1582.03,52677.92,105.32,conventional
2015-10-04,1.31,61007.1,2268.32,49880.67,101.36,conventional
2015-09-27,0.99,106803.39,1204.88,99409.21,154.84,conventional
2015-09-20,1.33,69759.01,1028.03,59313.12,150.5,conventional
2015-09-13,1.28,76111.27,985.73,65696.86,142,conventional
2015-09-06,1.11,99172.96,879.45,90062.62,240.79,conventional
2015-08-30,1.07,105693.84,689.01,94362.67,335.43,conventional
2015-08-23,1.34,79992.09,733.16,67933.79,444.78,conventional
2015-08-16,1.33,80043.78,539.65,68666.01,394.9,conventional
2015-08-09,1.12,111140.93,584.63,100961.46,368.95,conventional
2015-08-02,1.45,75133.1,509.94,62035.06,741.08,conventional
2015-07-26,1.11,106757.1,648.75,91949.05,966.61,conventional
2015-07-19,1.26,96617,1042.1,82049.4,2238.02,conventional
2015-07-12,1.05,124055.31,672.25,94693.52,4257.64,conventional
2015-07-05,1.35,109252.12,869.45,72600.55,5883.16,conventional
2015-06-28,1.37,89534.81,664.23,57545.79,4662.71,conventional
2015-06-21,1.27,104849.39,804.01,76688.55,5481.18,conventional
2015-06-14,1.32,89631.3,850.58,55400.94,4377.19,conventional
2015-06-07,1.07,122743.06,656.71,99220.82,90.32,conventional
2015-05-31,1.23,95123.62,922.37,70469.69,50.55,conventional
2015-05-24,1.19,101470.91,680.27,71376.81,58.7,conventional
2015-05-17,1.43,109857.47,1150.55,81955.16,94.32,conventional
2015-05-10,1.26,120427.91,1420.43,102000.52,185.66,conventional
2015-05-03,1.2,59197.67,919.87,45490.05,217.24,conventional
2015-04-26,1.22,49585.46,875.65,35841.75,89.62,conventional
2015-04-19,1.19,49064.73,774.15,33941.51,47.15,conventional
2015-04-12,1.13,48364.29,864.27,30374.15,21.5,conventional
2015-04-05,1.16,47362.13,961.77,35577.66,93.76,conventional
2015-03-29,1.02,67799.08,1402.28,58623.22,89.5,conventional
2015-03-22,1.12,46346.85,2141.83,34313.56,141.8,conventional
2015-03-15,1.11,43045.79,2128.26,30447.17,99.67,conventional
2015-03-08,1.07,40507.36,795.68,30370.64,159.05,conventional
2015-03-01,0.99,55595.74,629.46,45633.34,181.49,conventional
2015-02-22,1.07,45675.05,1088.38,35056.13,151,conventional
2015-02-15,1.06,41567.62,986.66,30045.51,222.42,conventional
2015-02-08,0.99,51253.97,1357.37,39111.81,163.25,conventional
2015-02-01,0.99,70873.6,1353.9,60017.2,179.32,conventional
2015-01-25,1.06,45147.5,941.38,33196.16,164.14,conventional
2015-01-18,1.17,44511.28,914.14,31540.32,135.77,conventional
2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,conventional
2015-01-04,1.22,40873.28,2819.5,28287.42,49.9,conventional
2015-12-27,0.99,386100.49,292097.36,27350.92,297.9,conventional
2015-12-20,1.08,331377.53,251774.15,20702.45,103.06,conventional
2015-12-13,0.96,417772.47,324932.28,31019.08,275.8,conventional
2015-12-06,1.07,357636.82,283024.01,23740.85,181.92,conventional
2015-11-29,0.99,333280.79,250288.65,28889.63,307.83,conventional
2015-11-22,1,356414.57,269799.03,29732.3,501.16,conventional
2015-11-15,1.13,339860.68,263915.78,28442.45,455.97,conventional
2015-11-08,1.12,334041.6,250441.38,34483.33,488.24,conventional
2015-11-01,0.99,419088.74,290457.5,62980.07,252.79,conventional
2015-10-25,1.09,358478.08,236814.29,64607.97,304.36,conventional
2015-10-18,1.09,349072.48,228710.28,59731.79,291.22,conventional
2015-10-11,0.95,433874.46,255933.32,91047.32,599.71,conventional
2015-10-04,0.96,418682.26,265797.09,92780.33,644.43,conventional
2015-09-27,1.07,370321.17,262107.44,61870.63,680.8,conventional
2015-09-20,0.93,516432.6,346118.51,82762.72,1349.41,conventional
2015-09-13,1.07,417232.18,278048.26,62485.97,714.93,conventional
2015-09-06,0.97,472136.53,303113.24,73675.85,911.25,conventional
2015-08-30,1.15,382972.72,275818.27,44839.12,1034.09,conventional
2015-08-23,1.12,379054.29,274462.42,46223.69,950.09,conventional
2015-08-16,1.09,465213.81,362579.51,41992.44,1424.96,conventional
2015-08-09,1.01,503791.72,385027.71,47040.07,4251.74,conventional
2015-08-02,1.15,405898.44,306587.86,41906.78,3515.48,conventional
2015-07-26,1.08,437377.75,335372.02,44087.07,708,conventional
2015-07-19,0.97,557212.99,446100.17,47838.42,1982.03,conventional
2015-07-12,1.14,407204.88,310080.33,37953.24,867.46,conventional
2015-07-05,1.01,562462.33,436377.91,54675.38,848.55,conventional
2015-06-28,1.13,435210.71,331353.43,37698.53,816.56,conventional
2015-06-21,0.99,554763.76,449311.47,30231.78,678.4,conventional
2015-06-14,1.1,465804.78,386370.5,17701.12,471.72,conventional
2015-06-07,0.99,551009.05,455565.92,22414.17,738.68,conventional
2015-05-31,1.1,454702,382900.99,19543.18,522.81,conventional
2015-05-24,0.96,623212.04,538126.94,27284.43,1260.8,conventional
2015-05-17,1.11,451250.7,386400.89,18618.84,838.68,conventional
2015-05-10,1.1,480071.18,413452.96,18860.63,1089.33,conventional
2015-05-03,1,634213.1,538403.48,28568.26,1059.73,conventional
2015-04-26,1.12,448596.76,387676.81,18366.33,1041.78,conventional
2015-04-19,1.12,430966.34,368709.65,18040.85,873.24,conventional
2015-04-12,0.99,451101.89,377578.48,22419.95,219.14,conventional
2015-04-05,1.04,383139.49,318473.47,19254.39,374.51,conventional
2015-03-29,1.11,365722.14,305028.89,16651.99,261.01,conventional
2015-03-22,1,479590.62,393591.03,23419.6,304.89,conventional
2015-03-15,1.12,399566.22,336172.08,16508.21,310.7,conventional
2015-03-08,1.1,420826.32,361559.22,15788.71,236.97,conventional
