submission_id,condition,response
379,BM,Beach
379,LB,Logic
379,JM,Metal
378,JM,Metal
378,LB,Logic
378,BM,Beach
377,BM,Mountains
377,LB,Biology
377,JM,Jazz
376,BM,Beach
376,JM,Jazz
376,LB,Biology
375,JM,Jazz
375,BM,Mountains
375,LB,Biology
374,LB,Biology
374,JM,Jazz
374,BM,Beach
373,BM,Beach
373,JM,Jazz
373,LB,Logic
372,JM,Metal
372,BM,Beach
372,LB,Logic
371,BM,Beach
371,JM,Jazz
371,LB,Logic
370,JM,Jazz
370,LB,Biology
370,BM,Beach
369,LB,Logic
369,BM,Mountains
369,JM,Metal
368,LB,Biology
368,JM,Jazz
368,BM,Beach
367,LB,Biology
367,BM,Beach
367,JM,Jazz
366,LB,Biology
366,JM,Jazz
366,BM,Beach
365,BM,Beach
365,LB,Biology
365,JM,Metal
364,BM,Mountains
364,LB,Logic
364,JM,Jazz
363,JM,Metal
363,BM,Mountains
363,LB,Logic
362,BM,Mountains
362,JM,Jazz
362,LB,Biology
361,BM,Beach
361,JM,Jazz
361,LB,Biology
360,BM,Beach
360,LB,Biology
360,JM,Jazz
359,LB,Logic
359,BM,Beach
359,JM,Jazz
358,JM,Jazz
358,LB,Biology
358,BM,Beach
357,LB,Biology
357,JM,Jazz
357,BM,Mountains
356,JM,Metal
356,BM,Mountains
356,LB,Logic
355,BM,Beach
355,JM,Metal
355,LB,Logic
354,LB,Biology
354,JM,Metal
354,BM,Mountains
353,LB,Logic
353,JM,Metal
353,BM,Mountains
352,JM,Jazz
352,BM,Mountains
352,LB,Biology
351,JM,Jazz
351,BM,Beach
351,LB,Biology
350,BM,Mountains
350,LB,Biology
350,JM,Jazz
349,JM,Metal
349,BM,Mountains
349,LB,Biology
348,LB,Biology
348,BM,Mountains
348,JM,Jazz
347,BM,Beach
347,LB,Logic
347,JM,Jazz
346,JM,Metal
346,LB,Biology
346,BM,Mountains
345,JM,Jazz
345,LB,Logic
345,BM,Mountains
344,BM,Mountains
344,JM,Jazz
344,LB,Logic
343,JM,Jazz
343,LB,Logic
343,BM,Mountains
342,BM,Beach
342,JM,Metal
342,LB,Biology
341,LB,Biology
341,JM,Jazz
341,BM,Mountains
340,JM,Jazz
340,LB,Biology
340,BM,Mountains
339,BM,Mountains
339,JM,Metal
339,LB,Biology
338,LB,Logic
338,BM,Beach
338,JM,Jazz
337,BM,Mountains
337,JM,Metal
337,LB,Logic
336,JM,Jazz
336,LB,Logic
336,BM,Beach
335,LB,Biology
335,BM,Mountains
335,JM,Metal
334,LB,Biology
334,BM,Beach
334,JM,Jazz
333,BM,Beach
333,LB,Biology
333,JM,Metal
332,BM,Beach
332,JM,Jazz
332,LB,Biology
331,LB,Logic
331,JM,Jazz
331,BM,Beach
330,LB,Biology
330,BM,Mountains
330,JM,Metal
329,LB,Logic
329,BM,Mountains
329,JM,Metal
328,LB,Biology
328,BM,Mountains
328,JM,Metal
327,JM,Jazz
327,BM,Beach
327,LB,Biology
326,BM,Beach
326,JM,Metal
326,LB,Biology
325,BM,Mountains
325,LB,Logic
325,JM,Jazz
324,JM,Metal
324,BM,Beach
324,LB,Biology
323,JM,Jazz
323,LB,Biology
