submission_id,vignette,background_correct,RT,age,comments,item_version,correct_answer,education,gender,languages,question,response,timeSpent,trial_name,trial_number,trial_type,condition,proportion_correct,outlier_subject
192,3,TRUE,13019,57,NA,9,FALSE,Graduated College,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,39.48995,main_trials,3,main,Condition 9,1,FALSE
192,1,TRUE,1783,57,NA,6,FALSE,Graduated College,female,English,The King of France isn’t bald.,FALSE,39.48995,main_trials,9,main,Condition 6,1,FALSE
192,2,TRUE,2050,57,NA,1,FALSE,Graduated College,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,39.48995,main_trials,13,main,Condition 1,1,FALSE
191,4,TRUE,2337,19,NA,0,FALSE,Graduated High School,male,English,The Belgian rainforest provides a habitat for many species.,FALSE,2.1661,main_trials,3,main,Condition 0,0.7857142857142857,FALSE
191,5,TRUE,5483,19,NA,10,FALSE,Graduated High School,male,English,"Leipzig, it is not threatened by the volcanoes of Germany.",TRUE,2.1661,main_trials,7,main,Condition 10,0.7857142857142857,FALSE
191,2,TRUE,2316,19,NA,1,FALSE,Graduated High School,male,English,"Canada has an emperor, and he is fond of sushi.",FALSE,2.1661,main_trials,9,main,Condition 1,0.7857142857142857,FALSE
191,3,TRUE,4756,19,NA,9,FALSE,Graduated High School,male,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",TRUE,2.1661,main_trials,13,main,Condition 9,0.7857142857142857,FALSE
191,1,TRUE,3773,19,NA,6,FALSE,Graduated High School,male,English,The King of France isn’t bald.,FALSE,2.1661,main_trials,19,main,Condition 6,0.7857142857142857,FALSE
190,3,TRUE,5064,31,NA,9,FALSE,Graduated College,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",TRUE,2.88835,main_trials,13,main,Condition 9,0.8571428571428571,FALSE
189,2,TRUE,4298,63,I hope I was right most of the time!,1,FALSE,Graduated College,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,5.63046666666667,main_trials,3,main,Condition 1,0.9285714285714286,FALSE
189,1,TRUE,8639,63,I hope I was right most of the time!,9,FALSE,Graduated College,female,English,"The King of France, he did not call Emmanuel Macron last night.",FALSE,5.63046666666667,main_trials,7,main,Condition 9,0.9285714285714286,FALSE
189,3,TRUE,9473,63,I hope I was right most of the time!,10,FALSE,Graduated College,female,English,"Angela Merkel, she was not invited by the Pope’s wife for dinner.",TRUE,5.63046666666667,main_trials,13,main,Condition 10,0.9285714285714286,FALSE
189,4,TRUE,6487,63,I hope I was right most of the time!,6,FALSE,Graduated College,female,English,The Belgian rainforest doesn’t provide a habitat for many species.,FALSE,5.63046666666667,main_trials,19,main,Condition 6,0.9285714285714286,FALSE
188,1,TRUE,3173,26,"My level of education is Some Highschool, not finished. So I couldn't input what was correct, so I'm leaving a comment here.",0,FALSE,NA,male,English,The king of France is bald.,FALSE,3.83238333333333,main_trials,3,main,Condition 0,0.8571428571428571,FALSE
188,2,TRUE,3718,26,"My level of education is Some Highschool, not finished. So I couldn't input what was correct, so I'm leaving a comment here.",9,FALSE,NA,male,English,"The Emperor of Canada, he does not reside in Dresden for the summer.",FALSE,3.83238333333333,main_trials,7,main,Condition 9,0.8571428571428571,FALSE
188,5,TRUE,1915,26,"My level of education is Some Highschool, not finished. So I couldn't input what was correct, so I'm leaving a comment here.",6,FALSE,NA,male,English,The volcanoes of Germany do not dominate the landscape.,FALSE,3.83238333333333,main_trials,9,main,Condition 6,0.8571428571428571,FALSE
188,4,TRUE,6109,26,"My level of education is Some Highschool, not finished. So I couldn't input what was correct, so I'm leaving a comment here.",10,FALSE,NA,male,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,3.83238333333333,main_trials,13,main,Condition 10,0.8571428571428571,FALSE
188,3,TRUE,2868,26,"My level of education is Some Highschool, not finished. So I couldn't input what was correct, so I'm leaving a comment here.",1,FALSE,NA,male,English,"The Pope has a wife, and she is a lawyer.",FALSE,3.83238333333333,main_trials,19,main,Condition 1,0.8571428571428571,FALSE
187,1,TRUE,7095,34,NA,0,FALSE,Graduated High School,female,English,The king of France is bald.,FALSE,3.74595,main_trials,3,main,Condition 0,1,FALSE
187,3,TRUE,2165,34,NA,1,FALSE,Graduated High School,female,English,"The Pope has a wife, and she is a lawyer.",FALSE,3.74595,main_trials,7,main,Condition 1,1,FALSE
