submission_id,RT,age,comments,item_version,correct_answer,education,gender,languages,question,response,timeSpent,trial_name,trial_number,trial_type,vignette
192,8110,57,,none,false,Graduated College,female,English,World War II was a global war that lasted from 1914 to 1918.,FALSE,39.48995,practice_trials,1,practice,undefined
192,35557,57,,none,true,Graduated College,female,English,Alexander Bell invented the telephone.,TRUE,39.48995,practice_trials,2,practice,undefined
192,3647,57,,none,false,Graduated College,female,English,Spain is a country in Asia.,FALSE,39.48995,practice_trials,3,practice,undefined
192,16037,57,,none,true,Graduated College,female,English,"William Shakespeare was an English poet, playwright and actor, regarded as the greatest writer in the English language.",TRUE,39.48995,practice_trials,4,practice,undefined
192,11816,57,,none,true,Graduated College,female,English,Normally there are 32 teeth in the adult human body.,TRUE,39.48995,practice_trials,5,practice,undefined
192,6024,57,,none,true,Graduated College,female,English,The Solar System includes the planet Earth.,TRUE,39.48995,main_trials,1,filler,none
192,4986,57,,none,false,Graduated College,female,English,Vatican City is the world's largest country by land area.,FALSE,39.48995,main_trials,2,filler,none
192,13019,57,,9,false,Graduated College,female,English,"The Pope’s wife, she did not invite Angela Merkel for dinner.",FALSE,39.48995,main_trials,3,main,3
192,5389,57,,none,false,Graduated College,female,English,Big Ben is a very large building in the middle of Paris.,FALSE,39.48995,main_trials,4,filler,none
192,2184,57,,none,true,Graduated College,female,English,Harry Potter is a series of fantasy novels written by J. K. Rowling.,TRUE,39.48995,main_trials,5,filler,none
192,14774,57,,none,false,Graduated College,female,English,Taj Mahal is a mausoleum on the bank of the river in the city of Rome.,FALSE,39.48995,main_trials,6,filler,none
192,13528,57,,0,false,Graduated College,female,English,The volcanoes of Germany dominate the landscape.,TRUE,39.48995,main_trials,7,main,5
192,2292,57,,none,false,Graduated College,female,English,James Bond is a spanish dancer from Madrid.,FALSE,39.48995,main_trials,8,filler,none
192,1783,57,,6,false,Graduated College,female,English,The King of France isn’t bald.,FALSE,39.48995,main_trials,9,main,1
192,12025,57,,none,true,Graduated College,female,English,The Pacific Ocean is a large ocean between Japan and the USA.,TRUE,39.48995,main_trials,10,filler,none
192,39609,57,,none,true,Graduated College,female,English,The Pope is currently not married.,TRUE,39.48995,main_trials,11,special,3
192,3605,57,,none,false,Graduated College,female,English,Australia has a very large border with Brazil.,FALSE,39.48995,main_trials,12,filler,none
192,2050,57,,1,false,Graduated College,female,English,"Canada has an emperor, and he is fond of sushi.",FALSE,39.48995,main_trials,13,main,2
192,1849,57,,none,true,Graduated College,female,English,Steve Jobs was an American inventor and co-founder of Apple.,TRUE,39.48995,main_trials,14,filler,none
192,14453,57,,none,true,Graduated College,female,English,Planet Earth is part of the galaxy ‘Milky Way’.,TRUE,39.48995,main_trials,15,filler,none
192,1671,57,,none,false,Graduated College,female,English,Germany has volcanoes.,TRUE,39.48995,main_trials,16,special,5
192,4133,57,,none,true,Graduated College,female,English,"Germany shares borders with France, Belgium and Denmark.",TRUE,39.48995,main_trials,17,filler,none
192,4669,57,,none,false,Graduated College,female,English,France has a king.,FALSE,39.48995,main_trials,18,special,1
192,6869,57,,10,false,Graduated College,female,English,"Donald Trump, his favorite nature spot is not the Belgian rainforest.",TRUE,39.48995,main_trials,19,main,4
192,3817,57,,none,true,Graduated College,female,English,Antarctica is a continent covered almost completely by ice.,TRUE,39.48995,main_trials,20,filler,none
192,2081293,57,,none,true,Graduated College,female,English,The Statue of Liberty is a colossal sculpture on Liberty Island in New York City in the United States.,TRUE,39.48995,main_trials,21,filler,none
192,1285,57,,none,true,Graduated College,female,English,Canada is a democracy.,TRUE,39.48995,main_trials,22,special,2
192,785,57,,none,true,Graduated College,female,English,"English is the main language in Australia, Britain and New Zealand.",TRUE,39.48995,main_trials,23,filler,none
192,544,57,,none,false,Graduated College,female,English,Belgium has rainforests.,TRUE,39.48995,main_trials,24,special,4
191,1676,19,,none,false,Graduated High School,male,English,Spain is a country in Asia.,TRUE,2.1661,practice_trials,1,practice,undefined
