submission_id,trial_number,block,stimulus,RT,handedness,gender,total_time_spent
8554,1,reaction,circle,311,Right,female,7.2514
8554,2,reaction,square,269,Right,female,7.2514
8554,3,reaction,square,317,Right,female,7.2514
8554,4,reaction,square,325,Right,female,7.2514
8554,5,reaction,circle,240,Right,female,7.2514
8554,6,reaction,square,262,Right,female,7.2514
8554,7,reaction,square,295,Right,female,7.2514
8554,8,reaction,circle,277,Right,female,7.2514
8554,9,reaction,square,288,Right,female,7.2514
8554,10,reaction,circle,309,Right,female,7.2514
8554,11,reaction,circle,319,Right,female,7.2514
8554,12,reaction,square,296,Right,female,7.2514
8554,13,reaction,square,244,Right,female,7.2514
8554,14,reaction,circle,305,Right,female,7.2514
8554,15,reaction,square,308,Right,female,7.2514
8554,16,reaction,circle,277,Right,female,7.2514
8554,17,reaction,circle,301,Right,female,7.2514
8554,18,reaction,square,316,Right,female,7.2514
8554,19,reaction,circle,322,Right,female,7.2514
8554,20,reaction,circle,308,Right,female,7.2514
8554,1,goNoGo,circle,354,Right,female,7.2514
8554,2,goNoGo,circle,592,Right,female,7.2514
8554,7,goNoGo,circle,354,Right,female,7.2514
8554,10,goNoGo,circle,341,Right,female,7.2514
8554,12,goNoGo,circle,418,Right,female,7.2514
8554,13,goNoGo,circle,354,Right,female,7.2514
8554,14,goNoGo,circle,351,Right,female,7.2514
8554,15,goNoGo,circle,369,Right,female,7.2514
8554,18,goNoGo,circle,446,Right,female,7.2514
8554,19,goNoGo,circle,598,Right,female,7.2514
8554,1,discrimination,NA,350,Right,female,7.2514
8554,2,discrimination,NA,339,Right,female,7.2514
8554,3,discrimination,NA,387,Right,female,7.2514
8554,4,discrimination,NA,391,Right,female,7.2514
8554,5,discrimination,NA,319,Right,female,7.2514
8554,6,discrimination,NA,414,Right,female,7.2514
8554,7,discrimination,NA,471,Right,female,7.2514
8554,8,discrimination,NA,380,Right,female,7.2514
8554,9,discrimination,NA,344,Right,female,7.2514
8554,10,discrimination,NA,420,Right,female,7.2514
8554,11,discrimination,NA,413,Right,female,7.2514
8554,12,discrimination,NA,403,Right,female,7.2514
8554,13,discrimination,NA,537,Right,female,7.2514
8554,14,discrimination,NA,567,Right,female,7.2514
8554,15,discrimination,NA,487,Right,female,7.2514
8554,16,discrimination,NA,439,Right,female,7.2514
8554,17,discrimination,NA,403,Right,female,7.2514
8554,18,discrimination,NA,422,Right,female,7.2514
8554,19,discrimination,NA,379,Right,female,7.2514
8554,20,discrimination,NA,454,Right,female,7.2514
8553,1,reaction,circle,273,Right,female,4.44878333333333
8553,2,reaction,circle,252,Right,female,4.44878333333333
8553,3,reaction,square,274,Right,female,4.44878333333333
8553,4,reaction,square,289,Right,female,4.44878333333333
8553,5,reaction,circle,245,Right,female,4.44878333333333
8553,6,reaction,circle,408,Right,female,4.44878333333333
8553,7,reaction,circle,273,Right,female,4.44878333333333
8553,8,reaction,circle,322,Right,female,4.44878333333333
8553,9,reaction,square,307,Right,female,4.44878333333333
8553,10,reaction,circle,268,Right,female,4.44878333333333
8553,11,reaction,square,380,Right,female,4.44878333333333
8553,12,reaction,circle,314,Right,female,4.44878333333333
8553,13,reaction,square,284,Right,female,4.44878333333333
8553,14,reaction,circle,305,Right,female,4.44878333333333
8553,15,reaction,square,295,Right,female,4.44878333333333
8553,16,reaction,square,242,Right,female,4.44878333333333
8553,17,reaction,circle,301,Right,female,4.44878333333333
