submission_id,RT,condition,correctness,class,experiment_id,key_pressed,p,pause,q,target_object,target_position,timeSpent,trial_number,trial_type
7432,1239,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1896,square,square,right,7.56541666666667,1,practice
7432,938,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1289,square,square,right,7.56541666666667,2,practice
7432,744,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1705,square,square,right,7.56541666666667,3,practice
7432,528,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2115,square,square,right,7.56541666666667,4,practice
7432,706,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2446,square,circle,left,7.56541666666667,5,practice
7432,547,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2289,square,circle,right,7.56541666666667,6,practice
7432,591,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2057,square,square,right,7.56541666666667,7,practice
7432,652,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2513,square,circle,left,7.56541666666667,8,practice
7432,627,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1865,square,square,right,7.56541666666667,9,practice
7432,485,incongruent,incorrect,Intro Cogn. Neuro-Psychology,52,q,circle,2387,square,circle,left,7.56541666666667,10,practice
7432,515,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2420,square,square,right,7.56541666666667,11,practice
7432,649,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2266,square,square,right,7.56541666666667,12,practice
7432,588,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2532,square,circle,left,7.56541666666667,13,practice
7432,682,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2585,square,square,left,7.56541666666667,14,practice
7432,652,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1200,square,square,right,7.56541666666667,15,practice
7432,575,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2667,square,circle,right,7.56541666666667,16,practice
7432,529,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1523,square,circle,right,7.56541666666667,17,practice
7432,697,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2348,square,square,left,7.56541666666667,18,practice
7432,559,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2568,square,circle,left,7.56541666666667,19,practice
7432,479,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1406,square,square,right,7.56541666666667,20,practice
7432,735,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1537,square,circle,left,7.56541666666667,1,main
7432,557,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1271,square,circle,left,7.56541666666667,2,main
7432,455,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2494,square,circle,right,7.56541666666667,3,main
7432,376,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2586,square,square,left,7.56541666666667,4,main
7432,626,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1578,square,square,right,7.56541666666667,5,main
7432,581,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2388,square,square,left,7.56541666666667,6,main
7432,571,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2054,square,circle,right,7.56541666666667,7,main
7432,560,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,2472,square,circle,right,7.56541666666667,8,main
7432,537,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1941,square,circle,left,7.56541666666667,9,main
7432,410,congruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1397,square,circle,right,7.56541666666667,10,main
7432,537,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2497,square,square,right,7.56541666666667,11,main
7432,539,incongruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1312,square,square,right,7.56541666666667,12,main
7432,633,congruent,incorrect,Intro Cogn. Neuro-Psychology,52,p,circle,2518,square,square,left,7.56541666666667,13,main
7432,590,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1895,square,square,left,7.56541666666667,14,main
7432,450,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2657,square,square,left,7.56541666666667,15,main
7432,429,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,2029,square,square,left,7.56541666666667,16,main
7432,557,incongruent,correct,Intro Cogn. Neuro-Psychology,52,p,circle,1277,square,circle,left,7.56541666666667,17,main
7432,611,congruent,correct,Intro Cogn. Neuro-Psychology,52,q,circle,1340,square,square,left,7.56541666666667,18,main
